2024-01-01 10:38:10.207 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-01-01 10:38:11.743 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3455595, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@151160e4, org.springframework.security.web.context.SecurityContextHolderFilter@7db9406e, org.springframework.security.web.header.HeaderWriterFilter@3beb300b, org.springframework.security.web.authentication.logout.LogoutFilter@f1980c3, com.webapp.backend.security.jwt.JwtRequestFilter@3afa5377, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6d43e9eb, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1e05b5c3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5f3e0845, org.springframework.security.web.session.SessionManagementFilter@1f21f28d, org.springframework.security.web.access.ExceptionTranslationFilter@2d7835c, org.springframework.security.web.access.intercept.AuthorizationFilter@449a8dce]
2024-01-01 10:38:12.303 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-01-01 10:38:12.345 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-01-01 10:38:12.381 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-01-01 10:38:12.405 [restartedMain] INFO  c.w.backend.WebAppBackEndApplication - Started WebAppBackEndApplication in 14.636 seconds (process running for 16.585)
2024-01-01 10:38:37.887 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-01 10:38:37.887 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-01-01 10:38:37.889 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-01-01 10:39:44.316 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
